CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES                  

  Data       Hora   Alt    Maré
2017-04-10  20:45  0.82  Baixa-Mar           
2017-04-11   2:57  3.62  Preia-Mar           
2017-04-11   9:04  0.76  Baixa-Mar           
2017-04-11  15:14  3.56  Preia-Mar           
2017-04-11  21:18  0.79  Baixa-Mar           
2017-04-12   3:29  3.60  Preia-Mar           
2017-04-12   9:34  0.78  Baixa-Mar           
2017-04-12  15:46  3.56  Preia-Mar           
2017-04-12  21:49  0.80  Baixa-Mar           
2017-04-13   4:01  3.54  Preia-Mar           
2017-04-13  10:05  0.84  Baixa-Mar           
2017-04-13  16:17  3.51  Preia-Mar           
2017-04-13  22:22  0.87  Baixa-Mar           
2017-04-14   4:34  3.43  Preia-Mar           
2017-04-14  10:36  0.94  Baixa-Mar           
2017-04-14  16:49  3.41  Preia-Mar           
2017-04-14  22:55  0.98  Baixa-Mar           
2017-04-15   5:07  3.28  Preia-Mar           
2017-04-15  11:09  1.08  Baixa-Mar           
2017-04-15  17:23  3.28  Preia-Mar           
2017-04-15  23:31  1.13  Baixa-Mar           
2017-04-16   5:44  3.11  Preia-Mar           
2017-04-16  11:44  1.25  Baixa-Mar           
2017-04-16  18:01  3.13  Preia-Mar           
2017-04-17   0:11  1.29  Baixa-Mar           
2017-04-17   6:25  2.92  Preia-Mar           
2017-04-17  12:24  1.42  Baixa-Mar           
2017-04-17  18:45  2.97  Preia-Mar           
2017-04-18   0:59  1.45  Baixa-Mar           
2017-04-18   7:17  2.76  Preia-Mar           
2017-04-18  13:16  1.58  Baixa-Mar           
2017-04-18  19:43  2.83  Preia-Mar           
2017-04-19   2:04  1.57  Baixa-Mar           
2017-04-19   8:27  2.65  Preia-Mar           
2017-04-19  14:27  1.68  Baixa-Mar           
2017-04-19  20:57  2.77  Preia-Mar           
2017-04-20   3:26  1.59  Baixa-Mar           
2017-04-20   9:49  2.66  Preia-Mar           
2017-04-20  15:53  1.66  Baixa-Mar           
2017-04-20  22:16  2.83  Preia-Mar           
2017-04-21   4:44  1.48  Baixa-Mar           
2017-04-21  11:01  2.79  Preia-Mar           
2017-04-21  17:06  1.51  Baixa-Mar           
2017-04-21  23:22  3.00  Preia-Mar           
2017-04-22   5:43  1.28  Baixa-Mar           
2017-04-22  11:58  3.00  Preia-Mar           
2017-04-22  18:02  1.28  Baixa-Mar           
2017-04-23   0:15  3.22  Preia-Mar           
2017-04-23   6:31  1.04  Baixa-Mar           
2017-04-23  12:44  3.24  Preia-Mar           
2017-04-23  18:48  1.03  Baixa-Mar           
2017-04-24   1:01  3.46  Preia-Mar           
2017-04-24   7:15  0.81  Baixa-Mar           
2017-04-24  13:27  3.48  Preia-Mar           
2017-04-24  19:32  0.79  Baixa-Mar           
2017-04-25   1:44  3.68  Preia-Mar           
2017-04-25   7:56  0.60  Baixa-Mar           
2017-04-25  14:09  3.68  Preia-Mar           
2017-04-25  20:14  0.59  Baixa-Mar           
2017-04-26   2:28  3.83  Preia-Mar           
2017-04-26   8:38  0.47  Baixa-Mar           
2017-04-26  14:51  3.82  Preia-Mar           
2017-04-26  20:57  0.46  Baixa-Mar           
2017-04-27   3:11  3.91  Preia-Mar           
2017-04-27   9:20  0.42  Baixa-Mar           
2017-04-27  15:34  3.89  Preia-Mar           
2017-04-27  21:42  0.42  Baixa-Mar           
2017-04-28   3:56  3.88  Preia-Mar           
2017-04-28  10:04  0.47  Baixa-Mar           
2017-04-28  16:18  3.86  Preia-Mar           
2017-04-28  22:28  0.47  Baixa-Mar           
2017-04-29   4:43  3.76  Preia-Mar           
2017-04-29  10:49  0.61  Baixa-Mar           
2017-04-29  17:05  3.75  Preia-Mar           
2017-04-29  23:17  0.61  Baixa-Mar           
2017-04-30   5:34  3.55  Preia-Mar           
2017-04-30  11:38  0.81  Baixa-Mar           
2017-04-30  17:57  3.57  Preia-Mar           
2017-05-01   0:12  0.82  Baixa-Mar           
2017-05-01   6:31  3.31  Preia-Mar           
2017-05-01  12:34  1.06  Baixa-Mar           
2017-05-01  18:55  3.36  Preia-Mar           
2017-05-02   1:16  1.03  Baixa-Mar           
2017-05-02   7:37  3.08  Preia-Mar           
2017-05-02  13:39  1.28  Baixa-Mar           
2017-05-02  20:03  3.18  Preia-Mar           
2017-05-03   2:32  1.20  Baixa-Mar           
2017-05-03   8:54  2.92  Preia-Mar           
2017-05-03  14:59  1.42  Baixa-Mar           
2017-05-03  21:22  3.07  Preia-Mar           
2017-05-04   3:55  1.26  Baixa-Mar           
2017-05-04  10:15  2.89  Preia-Mar           
2017-05-04  16:23  1.43  Baixa-Mar           
2017-05-04  22:39  3.07  Preia-Mar           
2017-05-05   5:10  1.21  Baixa-Mar           
2017-05-05  11:26  2.97  Preia-Mar           
2017-05-05  17:33  1.34  Baixa-Mar           
2017-05-05  23:45  3.14  Preia-Mar           
2017-05-06   6:08  1.12  Baixa-Mar           
2017-05-06  12:21  3.09  Preia-Mar           
2017-05-06  18:26  1.21  Baixa-Mar           
2017-05-07   0:37  3.23  Preia-Mar           
2017-05-07   6:53  1.03  Baixa-Mar           
2017-05-07  13:05  3.21  Preia-Mar           
2017-05-07  19:10  1.09  Baixa-Mar           
2017-05-08   1:19  3.31  Preia-Mar           
2017-05-08   7:31  0.96  Baixa-Mar           
2017-05-08  13:42  3.31  Preia-Mar           
2017-05-08  19:47  0.99  Baixa-Mar           
2017-05-09   1:56  3.37  Preia-Mar           
2017-05-09   8:04  0.90  Baixa-Mar           
2017-05-09  14:16  3.39  Preia-Mar           
2017-05-09  20:21  0.91  Baixa-Mar           
2017-05-10   2:31  3.40  Preia-Mar           
2017-05-10   8:36  0.87  Baixa-Mar           
